"filename", "language", "JavaScript", "JavaScript JSX", "comment", "blank", "total"
"d:\Web Development\Projects\hello-food\client-side\src\App.jsx", "JavaScript JSX", 0, 119, 5, 6, 130
"d:\Web Development\Projects\hello-food\client-side\src\admin\AdminData.js", "JavaScript", 37, 0, 0, 2, 39
"d:\Web Development\Projects\hello-food\client-side\src\admin\components\AdminHeader.jsx", "JavaScript JSX", 0, 53, 0, 6, 59
"d:\Web Development\Projects\hello-food\client-side\src\admin\components\MUI_Column.jsx", "JavaScript JSX", 0, 545, 26, 13, 584
"d:\Web Development\Projects\hello-food\client-side\src\admin\components\RecentOrders.jsx", "JavaScript JSX", 0, 45, 0, 5, 50
"d:\Web Development\Projects\hello-food\client-side\src\admin\components\Sidebar.jsx", "JavaScript JSX", 0, 148, 1, 8, 157
"d:\Web Development\Projects\hello-food\client-side\src\admin\components\Summary.jsx", "JavaScript JSX", 0, 170, 3, 11, 184
"d:\Web Development\Projects\hello-food\client-side\src\admin\pages\AddCategory.jsx", "JavaScript JSX", 0, 173, 0, 7, 180
"d:\Web Development\Projects\hello-food\client-side\src\admin\pages\AddProduct.jsx", "JavaScript JSX", 0, 301, 1, 11, 313
"d:\Web Development\Projects\hello-food\client-side\src\admin\pages\AddSlider.jsx", "JavaScript JSX", 0, 173, 0, 7, 180
"d:\Web Development\Projects\hello-food\client-side\src\admin\pages\AdminCategory.jsx", "JavaScript JSX", 0, 138, 2, 9, 149
"d:\Web Development\Projects\hello-food\client-side\src\admin\pages\AdminProductDetail.jsx", "JavaScript JSX", 0, 192, 1, 8, 201
"d:\Web Development\Projects\hello-food\client-side\src\admin\pages\AdminProducts.jsx", "JavaScript JSX", 0, 154, 1, 8, 163
"d:\Web Development\Projects\hello-food\client-side\src\admin\pages\Dashboard.jsx", "JavaScript JSX", 0, 26, 0, 3, 29
"d:\Web Development\Projects\hello-food\client-side\src\admin\pages\OrderDetail.jsx", "JavaScript JSX", 0, 227, 1, 9, 237
"d:\Web Development\Projects\hello-food\client-side\src\admin\pages\Orders.jsx", "JavaScript JSX", 0, 108, 1, 6, 115
"d:\Web Development\Projects\hello-food\client-side\src\admin\pages\Sliders.jsx", "JavaScript JSX", 0, 135, 2, 9, 146
"d:\Web Development\Projects\hello-food\client-side\src\admin\pages\UpdateCategory.jsx", "JavaScript JSX", 0, 195, 2, 9, 206
"d:\Web Development\Projects\hello-food\client-side\src\admin\pages\UpdateOrder.jsx", "JavaScript JSX", 0, 279, 1, 10, 290
"d:\Web Development\Projects\hello-food\client-side\src\admin\pages\UpdateProduct.jsx", "JavaScript JSX", 0, 336, 4, 19, 359
"d:\Web Development\Projects\hello-food\client-side\src\admin\pages\UpdateSlider.jsx", "JavaScript JSX", 0, 194, 1, 8, 203
"d:\Web Development\Projects\hello-food\client-side\src\admin\pages\Users.jsx", "JavaScript JSX", 0, 88, 1, 9, 98
"d:\Web Development\Projects\hello-food\client-side\src\components\AccountHeader.jsx", "JavaScript JSX", 0, 62, 0, 4, 66
"d:\Web Development\Projects\hello-food\client-side\src\components\AllProductsComponent.jsx", "JavaScript JSX", 0, 94, 0, 5, 99
"d:\Web Development\Projects\hello-food\client-side\src\components\Categories.jsx", "JavaScript JSX", 0, 131, 1, 7, 139
"d:\Web Development\Projects\hello-food\client-side\src\components\CategoryWiseProducts.jsx", "JavaScript JSX", 0, 105, 0, 4, 109
"d:\Web Development\Projects\hello-food\client-side\src\components\Footer.jsx", "JavaScript JSX", 0, 198, 0, 4, 202
"d:\Web Development\Projects\hello-food\client-side\src\components\MobileMenu.jsx", "JavaScript JSX", 0, 273, 1, 23, 297
"d:\Web Development\Projects\hello-food\client-side\src\components\Navbar.jsx", "JavaScript JSX", 0, 451, 10, 32, 493
"d:\Web Development\Projects\hello-food\client-side\src\components\ProductCard.jsx", "JavaScript JSX", 0, 219, 0, 7, 226
"d:\Web Development\Projects\hello-food\client-side\src\components\Slider.jsx", "JavaScript JSX", 0, 80, 2, 6, 88
"d:\Web Development\Projects\hello-food\client-side\src\components\Spinner.jsx", "JavaScript JSX", 0, 58, 61, 8, 127
"d:\Web Development\Projects\hello-food\client-side\src\components\TrashCode.js", "JavaScript", 0, 0, 18, 0, 18
"d:\Web Development\Projects\hello-food\client-side\src\components\Utilities.jsx", "JavaScript JSX", 0, 4042, 2, 5, 4049
"d:\Web Development\Projects\hello-food\client-side\src\components\new.jsx", "JavaScript JSX", 0, 0, 0, 1, 1
"d:\Web Development\Projects\hello-food\client-side\src\data.js", "JavaScript", 328, 0, 0, 3, 331
"d:\Web Development\Projects\hello-food\client-side\src\index.js", "JavaScript", 14, 0, 0, 2, 16
"d:\Web Development\Projects\hello-food\client-side\src\pages\Account.jsx", "JavaScript JSX", 0, 90, 0, 3, 93
"d:\Web Development\Projects\hello-food\client-side\src\pages\AllProducts.jsx", "JavaScript JSX", 0, 148, 3, 10, 161
"d:\Web Development\Projects\hello-food\client-side\src\pages\Billing.jsx", "JavaScript JSX", 0, 512, 0, 15, 527
"d:\Web Development\Projects\hello-food\client-side\src\pages\Cart.jsx", "JavaScript JSX", 0, 306, 0, 10, 316
"d:\Web Development\Projects\hello-food\client-side\src\pages\Home.jsx", "JavaScript JSX", 0, 40, 2, 6, 48
"d:\Web Development\Projects\hello-food\client-side\src\pages\Login.jsx", "JavaScript JSX", 0, 173, 10, 6, 189
"d:\Web Development\Projects\hello-food\client-side\src\pages\MyOrders.jsx", "JavaScript JSX", 0, 140, 1, 5, 146
"d:\Web Development\Projects\hello-food\client-side\src\pages\MyReturns.jsx", "JavaScript JSX", 0, 70, 0, 3, 73
"d:\Web Development\Projects\hello-food\client-side\src\pages\NotFound.jsx", "JavaScript JSX", 0, 15, 0, 3, 18
"d:\Web Development\Projects\hello-food\client-side\src\pages\Order.jsx", "JavaScript JSX", 0, 516, 0, 14, 530
"d:\Web Development\Projects\hello-food\client-side\src\pages\OrderSuccess.jsx", "JavaScript JSX", 0, 42, 0, 4, 46
"d:\Web Development\Projects\hello-food\client-side\src\pages\PrivacyPolicy.jsx", "JavaScript JSX", 0, 35, 0, 4, 39
"d:\Web Development\Projects\hello-food\client-side\src\pages\Prodcuts.jsx", "JavaScript JSX", 0, 158, 11, 11, 180
"d:\Web Development\Projects\hello-food\client-side\src\pages\ProductDetail.jsx", "JavaScript JSX", 0, 332, 1, 10, 343
"d:\Web Development\Projects\hello-food\client-side\src\pages\Register.jsx", "JavaScript JSX", 0, 210, 1, 7, 218
"d:\Web Development\Projects\hello-food\client-side\src\pages\SearchResult.jsx", "JavaScript JSX", 0, 149, 10, 13, 172
"d:\Web Development\Projects\hello-food\client-side\src\redux\features\auth\authSlice.js", "JavaScript", 93, 0, 5, 10, 108
"d:\Web Development\Projects\hello-food\client-side\src\redux\features\auth\userSlice.js", "JavaScript", 63, 0, 4, 7, 74
"d:\Web Development\Projects\hello-food\client-side\src\redux\features\cart\cartSlice.js", "JavaScript", 239, 0, 11, 11, 261
"d:\Web Development\Projects\hello-food\client-side\src\redux\features\category\categorySlice.js", "JavaScript", 140, 0, 9, 16, 165
"d:\Web Development\Projects\hello-food\client-side\src\redux\features\order\orderSlice.js", "JavaScript", 112, 0, 7, 5, 124
"d:\Web Development\Projects\hello-food\client-side\src\redux\features\product\productSlice.jsx", "JavaScript JSX", 0, 139, 11, 9, 159
"d:\Web Development\Projects\hello-food\client-side\src\redux\features\slider\sliderSlice.js", "JavaScript", 113, 0, 6, 11, 130
"d:\Web Development\Projects\hello-food\client-side\src\redux\store.js", "JavaScript", 18, 0, 30, 10, 58
"d:\Web Development\Projects\hello-food\client-side\src\requestMethod.js", "JavaScript", 6, 0, 1, 3, 10
"d:\Web Development\Projects\hello-food\client-side\src\responsive.js", "JavaScript", 22, 0, 0, 3, 25
"Total", "-", 1185, 12587, 271, 503, 14546
